"air_temperature_celsius","year","month"
3.58,1880,1
4.4,1880,2
4.69,1880,3
9.43,1880,4
7.66,1880,5
15.48,1880,6
17.33,1880,7
18.68,1880,8
17.06,1880,9
9.51,1880,10
7.56,1880,11
6,1880,12
3.25,1881,2
4.84,1881,4
9.54,1881,5
12.31,1881,6
16.45,1881,7
15.18,1881,8
14.9,1881,9
9.71,1881,10
6.7,1881,11
5.72,1881,12
6.51,1882,2
7.45,1882,3
9.61,1882,4
12.24,1882,5
13.21,1882,6
16.18,1882,7
16.98,1882,8
15.71,1882,9
14.98,1882,10
7.03,1882,11
4.2,1882,12
6.21,1883,1
6.56,1883,2
4.59,1883,3
6.87,1883,4
10.95,1883,5
13.54,1883,6
18.5,1883,7
16.22,1883,8
16.15,1883,9
13.01,1883,10
10.3,1883,11
5,1883,12
6.68,1884,1
5.66,1884,2
7.33,1884,3
8.66,1884,4
10.88,1884,5
14.1,1884,6
16.07,1884,7
20.6,1884,8
15.81,1884,9
9.69,1884,10
9.9,1884,11
6.5,1884,12
1.64,1885,1
6.65,1885,2
4.57,1885,3
9.12,1885,4
11.04,1885,5
11.9,1885,6
14.99,1885,7
17.44,1885,8
16.5,1885,9
9.83,1885,10
11.6,1885,11
7.8,1885,12
5.1,1886,1
4.39,1886,3
6.12,1886,4
12.19,1886,5
13.51,1886,6
15.24,1886,7
17.16,1886,8
17.67,1886,9
14.14,1886,10
9.8,1886,11
6,1886,12
5.48,1887,1
4.91,1887,2
6.45,1887,3
6.04,1887,4
8.82,1887,5
13.52,1887,6
15.79,1887,7
16.56,1887,8
13.6,1887,9
11.86,1887,10
7,1887,11
6.5,1887,12
2.87,1888,1
1.95,1888,2
3.12,1888,3
4.85,1888,4
9.35,1888,5
12.61,1888,6
15.89,1888,7
14.92,1888,8
14.57,1888,9
10.65,1888,10
9,1888,11
7.57,1888,12
5.78,1889,1
4.1,1889,2
5.74,1889,3
8.1,1889,4
10.95,1889,5
14.92,1889,6
16.56,1889,7
15.78,1889,8
15.89,1889,9
11.82,1889,10
9.07,1889,11
7.18,1889,12
6.77,1890,1
5.05,1890,2
6.61,1890,3
7.84,1890,4
10.98,1890,5
12.68,1890,6
14.68,1890,7
15.81,1890,8
16.2,1890,9
11.96,1890,10
9.11,1890,11
2.19,1890,12
2.98,1891,1
4.33,1891,2
5.26,1891,3
5.54,1891,4
9.31,1891,5
12.92,1891,6
15.7,1891,7
16.25,1891,8
16.64,1891,9
13.71,1891,10
9.78,1891,11
7.83,1891,12
3.5,1892,1
4.87,1892,2
3.61,1892,3
7.77,1892,4
9.37,1892,5
12.41,1892,6
14.44,1892,7
16.65,1892,8
15.89,1892,9
10.68,1892,10
11.13,1892,11
1.1,1892,12
2.6,1893,2
6.9,1893,3
9.64,1893,4
12.46,1893,5
14.7,1893,6
16.34,1893,7
19.2,1893,8
17.2,1893,9
7.6,1893,11
6.31,1894,2
8.56,1894,3
9.98,1894,4
11.4,1894,6
16.31,1894,7
15.8,1894,8
12.09,1894,9
12.36,1894,10
13.18,1894,11
9.06,1894,12
3.76,1895,1
0.96,1895,2
1.68,1895,3
8.45,1895,5
14.57,1895,6
14.1,1895,7
17.9,1895,8
13.56,1895,10
12.2,1895,11
3.1,1895,12
9.7,1896,1
2.23,1896,2
6.64,1896,3
8.27,1896,4
7.43,1896,5
14.66,1896,6
