"year","days","numO","calc_threshold"
1882,176,107,10
1884,187,101,10
1885,199,105,10
1887,147,106,10
1888,193,144,10
1889,181,230,10
1890,198,237,10
1891,187,229,10
1892,173,126,10
1894,188,276,10
1895,127,202,10
1903,188,922,10
1904,192,2249,10
1905,179,2684,10
1906,191,3034,10
1907,199,3537,10
1908,193,3680,10
1909,182,4357,10
1910,183,4854,10
1911,187,6860,10
1912,193,6902,10
1913,210,6979,10
1914,199,4117,10
1915,183,2191,10
1916,205,3376,10
1917,190,2950,10
1918,192,4014,10
1919,167,4259,10
1920,196,2526,10
1921,190,2595,10
1922,168,3083,10
1923,176,3343,10
1924,181,3384,10
1925,185,3217,10
1926,183,3198,10
1927,195,3351,10
1928,194,3471,10
1929,178,3315,10
1930,187,3189,10
1931,190,2961,10
1932,182,2686,10
1933,186,3141,10
1934,201,3229,10
1935,181,3564,10
1936,177,3818,10
1937,195,3634,10
1938,199,3499,10
1939,200,2182,10
1946,191,706,10
1947,185,486,10
1948,215,390,10
1949,205,406,10
1950,196,477,10
1951,193,629,10
1952,193,873,10
1953,211,624,10
1954,199,910,10
1955,187,905,10
1956,190,774,10
1957,213,734,10
1958,201,754,10
1959,218,647,10
1960,210,810,10
1961,215,2190,10
1962,180,1727,10
1963,188,1398,10
1964,197,1678,10
1965,182,1980,10
1966,197,2306,10
1967,204,2681,10
1968,201,3012,10
1969,194,2937,10
1970,202,1941,10
1971,204,3044,10
1972,212,3805,10
1973,193,3783,10
1974,203,2725,10
1975,204,1742,10
1976,199,2125,10
1977,208,3455,10
1978,205,3057,10
1979,203,4226,10
1980,181,6358,10
1981,182,5978,10
1982,197,5444,10
1983,197,3723,10
1984,190,3604,10
1985,180,4399,10
1986,193,3892,10
1987,195,3321,10
1988,196,4088,10
1989,203,8260,10
1990,217,5819,10
1991,187,5078,10
1992,186,9479,10
1993,184,9833,10
1994,211,6430,10
1995,212,9165,10
1996,177,7343,10
1997,210,5289,10
1998,209,5232,10
1999,204,4696,10
2000,208,4183,10
2001,207,3666,10
2002,221,4555,10
2003,209,4278,10
2004,217,3937,10
2005,209,4013,10
2006,223,3460,10
2007,246,2916,10
2008,225,1939,10
2009,235,2745,10
2010,193,2516,10
2011,232,2223,10
2012,209,2974,10
2013,196,2686,10
2014,261,2247,10
2015,237,1988,10
2016,272,1748,10
2017,235,1955,10
2018,259,2185,10
2019,264,4692,10
1882,162,107,11
1884,174,101,11
1885,177,105,11
1887,137,106,11
1888,166,144,11
1889,168,230,11
1890,170,237,11
1891,165,229,11
1892,159,126,11
1894,163,276,11
1895,119,202,11
1903,168,922,11
1904,170,2249,11
1905,156,2684,11
1906,171,3034,11
1907,177,3537,11
1908,172,3680,11
1909,164,4357,11
1910,166,4854,11
1911,170,6860,11
1912,168,6902,11
1913,192,6979,11
1914,177,4117,11
1915,168,2191,11
1916,187,3376,11
1917,164,2950,11
1918,169,4014,11
1919,155,4259,11
1920,176,2526,11
