"lat","long","year","month","sal","location"
51.27,2.97,1906,5,29.69,"OST"
51.27,2.97,1906,5,30.28,"OST"
51.27,2.97,1906,5,30.08,"OST"
51.27,2.97,1906,5,30.61,"OST"
51.27,2.97,1906,5,30.39,"OST"
51.25,2.92,1929,9,35.17,"OST"
51.25,2.88,1937,10,32.66,"OST"
51.25,2.88,1937,11,30.42,"OST"
51.25,2.88,1937,11,30.42,"OST"
51.27,2.88,1938,10,34.07,"OST"
51.27,2.88,1938,11,34.05,"OST"
51.2305,2.8778,1949,3,31.8,"OST"
51.2305,2.8778,1949,3,32.48,"OST"
51.2305,2.8778,1949,3,31.74,"OST"
51.2305,2.8778,1949,4,31.04,"OST"
51.2305,2.8778,1949,4,31.29,"OST"
51.2305,2.8778,1949,4,34.34,"OST"
51.2305,2.8778,1949,4,33.95,"OST"
51.2305,2.8778,1949,4,34.36,"OST"
51.2305,2.8778,1949,4,32.23,"OST"
51.2305,2.8778,1949,4,32.36,"OST"
51.2305,2.8778,1949,5,31.46,"OST"
51.2305,2.8778,1949,5,31.38,"OST"
51.2305,2.8778,1949,5,30.82,"OST"
51.2305,2.8778,1949,5,30.82,"OST"
51.2305,2.8778,1949,5,31.46,"OST"
51.2305,2.8778,1949,5,31.04,"OST"
51.2305,2.8778,1949,5,31.2,"OST"
51.2305,2.8778,1949,6,33.21,"OST"
51.2305,2.8778,1949,6,33.33,"OST"
51.2305,2.8778,1949,6,34.47,"OST"
51.2305,2.8778,1949,6,34.49,"OST"
51.2305,2.8778,1949,6,33.06,"OST"
51.2305,2.8778,1949,6,33.6,"OST"
51.2305,2.8778,1949,6,31.33,"OST"
51.2305,2.8778,1949,6,31.38,"OST"
51.2305,2.8778,1949,7,30.57,"OST"
51.2305,2.8778,1949,7,30.66,"OST"
51.2305,2.8778,1949,7,30.12,"OST"
51.2305,2.8778,1949,7,30.21,"OST"
51.2305,2.8778,1949,7,30.66,"OST"
51.2305,2.8778,1949,7,30.82,"OST"
51.2305,2.8778,1949,7,30.21,"OST"
51.2305,2.8778,1949,7,30.3,"OST"
51.2305,2.8778,1949,8,30.91,"OST"
51.2305,2.8778,1949,8,34.27,"OST"
51.2305,2.8778,1949,8,34.6,"OST"
51.2305,2.8778,1949,8,34.69,"OST"
51.2305,2.8778,1949,8,33.68,"OST"
51.2305,2.8778,1949,8,34.02,"OST"
51.2305,2.8778,1949,8,31.31,"OST"
51.2305,2.8778,1949,8,31.49,"OST"
51.2305,2.8778,1949,8,32.52,"OST"
51.2305,2.8778,1949,8,33.35,"OST"
51.2305,2.8778,1949,9,31.8,"OST"
51.2305,2.8778,1949,9,31.98,"OST"
51.2305,2.8778,1949,9,32.65,"OST"
51.2305,2.8778,1949,9,33.01,"OST"
51.2305,2.8778,1949,10,31.94,"OST"
51.2305,2.8778,1949,10,32.03,"OST"
51.2305,2.8778,1949,10,33.69,"OST"
51.2305,2.8778,1949,10,33.75,"OST"
51.2305,2.8778,1949,10,33.48,"OST"
51.2305,2.8778,1949,10,33.48,"OST"
51.2305,2.8778,1949,10,34.23,"OST"
51.2305,2.8778,1949,10,34.33,"OST"
51.2305,2.8778,1949,11,34.11,"OST"
51.2305,2.8778,1949,11,34.31,"OST"
51.2305,2.8778,1949,11,34.7,"OST"
51.2305,2.8778,1949,11,34.7,"OST"
51.2305,2.8778,1949,11,34.27,"OST"
51.2305,2.8778,1949,11,34.27,"OST"
51.2305,2.8778,1949,11,34.23,"OST"
51.2305,2.8778,1949,11,34.23,"OST"
51.2305,2.8778,1949,12,33.8,"OST"
51.2305,2.8778,1949,12,34.14,"OST"
51.2305,2.8778,1949,12,32.61,"OST"
51.2305,2.8778,1949,12,33.44,"OST"
51.2612,2.8667,1950,5,30.77,"OST"
51.2305,2.8778,1950,5,32.27,"OST"
51.2528,2.8083,1950,6,32.07,"OST"
51.2138,2.825,1950,6,31.74,"OST"
51.2528,2.8083,1950,6,31.98,"OST"
51.2612,2.8667,1950,6,32.41,"OST"
51.2305,2.8778,1950,6,30.5,"OST"
51.2528,2.8083,1950,6,34.13,"OST"
51.2528,2.8083,1950,6,33.69,"OST"
51.2305,2.8778,1950,6,34.54,"OST"
51.2305,2.8778,1950,6,34.54,"OST"
51.2305,2.8778,1950,6,34.54,"OST"
51.2305,2.8778,1950,6,34.5,"OST"
51.2305,2.8778,1950,7,34.5,"OST"
51.2305,2.8778,1950,7,34.79,"OST"
51.2305,2.8778,1950,7,34.7,"OST"
51.2305,2.8778,1950,7,34.88,"OST"
51.2305,2.8778,1950,8,34.88,"OST"
51.2305,2.8778,1950,8,34.88,"OST"
51.2305,2.8778,1950,8,35.01,"OST"
51.2305,2.8778,1950,8,35.01,"OST"
51.2305,2.8778,1950,8,34.76,"OST"
51.2305,2.8778,1950,9,34.7,"OST"
51.2305,2.8778,1950,9,34.63,"OST"
51.2305,2.8778,1950,9,34.42,"OST"
51.2305,2.8778,1950,9,34.14,"OST"
51.2305,2.8778,1950,10,34.14,"OST"
51.2305,2.8778,1950,10,33.75,"OST"
51.2305,2.8778,1950,10,33.6,"OST"
51.2305,2.8778,1950,10,33.15,"OST"
51.2305,2.8778,1950,11,32.75,"OST"
51.2305,2.8778,1950,11,32.84,"OST"
51.2305,2.8778,1950,11,34.2,"OST"
51.2305,2.8778,1950,11,33.78,"OST"
51.2305,2.8778,1950,11,34.02,"OST"
51.2305,2.8778,1950,11,32.61,"OST"
51.2305,2.8778,1950,11,33.48,"OST"
51.2305,2.8778,1950,12,33.66,"OST"
51.2305,2.8778,1950,12,32.97,"OST"
51.2305,2.8778,1950,12,32.97,"OST"
51.2305,2.8778,1950,12,24.16,"OST"
51.2305,2.8778,1950,12,29.9,"OST"
51.2305,2.8778,1951,1,33.17,"OST"
51.2305,2.8778,1951,1,31.13,"OST"
51.2138,2.825,1951,2,31.08,"OST"
51.2305,2.8778,1951,2,33.42,"OST"
51.2305,2.8778,1951,2,33.08,"OST"
51.2305,2.8778,1951,3,30.77,"OST"
51.2305,2.8778,1951,3,33.66,"OST"
51.2305,2.8778,1951,3,33.42,"OST"
51.2305,2.8778,1951,3,33.13,"OST"
51.2305,2.8778,1951,4,31.89,"OST"
51.2305,2.8778,1951,4,33.17,"OST"
51.2305,2.8778,1951,4,33.3,"OST"
51.2305,2.8778,1951,5,28.75,"OST"
51.2305,2.8778,1951,5,29.47,"OST"
51.2305,2.8778,1951,5,29.72,"OST"
51.2305,2.8778,1951,6,29.78,"OST"
51.2305,2.8778,1951,6,33.86,"OST"
51.2305,2.8778,1951,7,31.27,"OST"
51.2305,2.8778,1951,7,32.54,"OST"
51.2305,2.8778,1951,7,30.32,"OST"
51.2305,2.8778,1951,8,33.77,"OST"
51.2305,2.8778,1951,9,33.68,"OST"
51.2305,2.8778,1951,9,33.68,"OST"
51.2305,2.8778,1951,9,33.68,"OST"
51.2305,2.8778,1951,10,32.54,"OST"
51.2305,2.8778,1951,10,32.97,"OST"
51.3083,2.9167,1951,12,33.55,"OST"
51.2138,2.825,1952,2,29.27,"OST"
51.2305,2.8778,1952,2,28.77,"OST"
51.2138,2.825,1952,3,32.12,"OST"
51.2305,2.8778,1952,3,31.51,"OST"
51.2305,2.8778,1952,3,33.68,"OST"
51.2305,2.8778,1952,3,29.13,"OST"
51.2138,2.825,1952,4,29.97,"OST"
51.2138,2.825,1952,4,30.1,"OST"
51.2305,2.8778,1952,4,29.83,"OST"
51.2305,2.8778,1952,4,30.77,"OST"
51.2305,2.8778,1952,4,29.43,"OST"
51.3083,2.9167,1952,10,34.43,"OST"
51.3083,2.9167,1952,10,31.44,"OST"
51.3083,2.9167,1952,11,34.09,"OST"
51.3083,2.9167,1952,11,29.99,"OST"
51.3083,2.9167,1953,1,29.38,"OST"
51.3083,2.9167,1953,2,29.63,"OST"
51.3083,2.9167,1953,3,29.11,"OST"
51.3083,2.9167,1953,3,28.82,"OST"
51.27,2.82,1963,4,29.96,"OST"
51.3,2.875,1975,1,33.5,"OST"
51.3,2.875,1975,1,33.5,"OST"
51.27,2.875,1975,1,33.2,"OST"
51.23,2.83,1975,1,31.35,"OST"
51.2,2.792,1975,1,31.7,"OST"
51.2,2.792,1975,1,31.7,"OST"
51.22,2.78,1976,1,33.37,"OST"
51.258,2.87,1976,1,32.83,"OST"
51.258,2.87,1976,1,33.15,"OST"
51.292,2.892,1976,1,33.412,"OST"
51.2778,2.9112,1977,5,NA,"OST"
51.2778,2.9112,1977,7,32.92,"OST"
51.2778,2.9112,1977,9,30.54,"OST"
51.2778,2.9112,1977,9,30.94,"OST"
51.2778,2.9112,1977,10,34.44,"OST"
51.2778,2.9112,1977,12,34.76,"OST"
51.22,2.858,1978,1,31.15,"OST"
51.27,2.87,1978,1,31.52,"OST"
51.2778,2.9112,1978,1,NA,"OST"
51.2778,2.9112,1978,2,31.13,"OST"
51.28,2.92,1978,4,31.71,"OST"
51.28,2.92,1978,4,31.7,"OST"
51.2778,2.9112,1978,4,31.59,"OST"
51.2778,2.9112,1978,5,30.8,"OST"
51.2778,2.9112,1978,6,29.88,"OST"
51.2778,2.9112,1978,7,33.18,"OST"
51.2778,2.9112,1978,8,31.77,"OST"
51.2778,2.9112,1978,9,33.13,"OST"
51.2778,2.9112,1978,10,32.81,"OST"
51.2778,2.9112,1978,11,34.1,"OST"
51.2778,2.9112,1978,12,33.87,"OST"
51.2778,2.9112,1979,1,NA,"OST"
51.2778,2.9112,1979,2,31.23,"OST"
51.2778,2.9112,1979,3,33.52,"OST"
51.2778,2.9112,1979,5,32.69,"OST"
51.2778,2.9112,1979,6,31.96,"OST"
51.2778,2.9112,1979,7,31.44,"OST"
51.2778,2.9112,1979,9,34.17,"OST"
51.2778,2.9112,1979,10,33.85,"OST"
51.2778,2.9112,1979,11,34.33,"OST"
51.2778,2.9112,1979,12,33.81,"OST"
51.2778,2.9112,1980,1,32.52,"OST"
51.2778,2.9112,1980,2,33.54,"OST"
51.2778,2.9112,1980,3,33.51,"OST"
51.2778,2.9112,1980,4,33.68,"OST"
51.2778,2.9112,1980,5,29.27,"OST"
51.2778,2.9112,1980,7,32.49,"OST"
51.2778,2.9112,1980,9,33.29,"OST"
51.2778,2.9112,1980,10,32.83,"OST"
51.2778,2.9112,1980,11,33.66,"OST"
51.2778,2.9112,1980,12,31.25,"OST"
51.2778,2.9112,1981,2,29.02,"OST"
51.2778,2.9112,1981,3,NA,"OST"
51.2778,2.9112,1981,4,30.34,"OST"
51.2778,2.9112,1981,5,31.18,"OST"
51.2778,2.9112,1981,7,29.89,"OST"
51.2778,2.9112,1981,11,31,"OST"
51.2778,2.9112,1981,11,33.03,"OST"
51.2778,2.9112,1981,12,31.52,"OST"
51.2778,2.9112,1982,1,29.6,"OST"
51.2778,2.9112,1982,2,29.79,"OST"
51.2778,2.9112,1982,4,29.82,"OST"
51.2778,2.9112,1982,5,29.58,"OST"
51.2778,2.9112,1982,6,30.19,"OST"
51.2778,2.9112,1982,9,34.15,"OST"
51.2778,2.9112,1982,10,33.75,"OST"
51.2778,2.9112,1982,11,33.23,"OST"
51.2778,2.9112,1982,12,32.99,"OST"
51.2778,2.9112,1983,1,31.27,"OST"
51.2778,2.9112,1983,3,29.87,"OST"
51.2778,2.9112,1983,4,31.16,"OST"
51.2778,2.9112,1983,5,31.35,"OST"
51.2778,2.9112,1983,6,30.5,"OST"
51.2778,2.9112,1983,7,30.15,"OST"
51.2778,2.9112,1983,8,30.61,"OST"
51.2778,2.9112,1983,10,34.06,"OST"
51.2778,2.9112,1983,11,33.32,"OST"
51.2778,2.9112,1983,12,NA,"OST"
51.2778,2.9112,1984,2,31.01,"OST"
51.2778,2.9112,1984,3,31.09,"OST"
51.2778,2.9112,1984,4,30.59,"OST"
51.2778,2.9112,1984,6,30.93,"OST"
51.2778,2.9112,1984,10,34.06,"OST"
51.2778,2.9112,1984,12,33.14,"OST"
51.2708,2.905,1985,1,32.31,"OST"
51.2708,2.905,1985,2,31.39,"OST"
51.3083,2.85,1985,2,31.56,"OST"
51.2708,2.905,1985,3,31.15,"OST"
51.3083,2.85,1985,3,31.55,"OST"
51.2708,2.905,1985,4,34.1,"OST"
51.3083,2.85,1985,4,34.46,"OST"
51.2708,2.905,1985,5,30.61,"OST"
51.3083,2.85,1985,5,31.67,"OST"
51.2708,2.905,1985,6,30.17,"OST"
51.3083,2.85,1985,6,31.06,"OST"
51.3083,2.85,1985,9,34.28,"OST"
51.2708,2.905,1985,9,34.18,"OST"
51.2708,2.905,1985,10,34.07,"OST"
51.3083,2.85,1985,10,34.22,"OST"
51.2708,2.905,1985,11,32.67,"OST"
51.2708,2.905,1986,3,31.33,"OST"
51.2708,2.905,1986,4,33.16,"OST"
51.3083,2.85,1986,4,32.52,"OST"
51.3083,2.85,1986,9,34.45,"OST"
