"wind_speed","year","month"
3.86,1880,1
8.2,1880,2
9.35,1880,3
6.67,1880,4
7.45,1880,5
5.67,1880,6
5.16,1880,7
6.44,1880,8
6.87,1880,9
10.79,1880,10
9.51,1880,11
8.34,1880,12
8.84,1881,2
6.94,1881,4
7.68,1881,5
5.39,1881,6
6.71,1881,7
7.26,1881,8
6.66,1881,9
10.41,1881,10
9.8,1881,11
6.07,1881,12
4.65,1882,2
7.88,1882,3
11.44,1882,4
5.66,1882,5
9.35,1882,6
8.28,1882,7
9.02,1882,8
9.92,1882,9
8.89,1882,10
10.43,1882,11
14.95,1882,12
15.98,1883,1
12.27,1883,2
12.67,1883,3
6.32,1883,4
4.64,1883,5
6.44,1883,6
9.13,1883,7
8.54,1883,8
4.96,1883,9
3.97,1883,10
11.15,1883,11
6.18,1883,12
13.05,1884,1
11.97,1884,2
3.43,1884,3
3.1,1884,4
9.62,1884,5
3.8,1884,6
3.89,1884,7
6.7,1884,8
7.06,1884,9
13.97,1884,10
10.02,1884,11
12.35,1884,12
3.17,1885,1
4.9,1885,2
3.27,1885,3
5.24,1885,4
5.35,1885,5
5.32,1885,6
2.43,1885,7
2.2,1885,8
5.3,1885,9
9.32,1885,10
15.47,1885,11
2.6,1885,12
12.53,1886,1
7.57,1886,2
6.75,1886,3
7.14,1886,4
6.95,1886,5
5.11,1886,6
5.36,1886,7
4.5,1886,8
7.65,1886,9
8.19,1886,10
9.42,1886,11
6.7,1886,12
4.54,1887,1
8.16,1887,2
8.43,1887,3
6.89,1887,4
4.8,1887,5
4.03,1887,6
4.12,1887,7
6.26,1887,8
7.12,1887,9
12.3,1887,10
12.3,1887,11
8.43,1887,12
9.09,1888,1
10.65,1888,2
7.64,1888,3
6.74,1888,4
6.29,1888,5
3.56,1888,6
6.45,1888,7
4.03,1888,8
6.98,1888,9
6.73,1888,10
9.61,1888,11
7.98,1888,12
6.92,1889,1
11.63,1889,2
5.76,1889,3
5.66,1889,4
5.06,1889,5
3,1889,6
5.96,1889,7
8.84,1889,8
6.15,1889,9
9.73,1889,10
6.45,1889,11
11.98,1889,12
7.78,1890,1
6.66,1890,2
6.95,1890,3
4.54,1890,4
4.89,1890,5
4.58,1890,6
6.88,1890,7
5.67,1890,8
6.79,1890,9
12.31,1890,10
7.28,1890,11
5.36,1890,12
6.97,1891,1
4.12,1891,2
9.31,1891,3
5.73,1891,4
4.94,1891,5
6.38,1891,6
5.62,1891,7
8.23,1891,8
11.23,1891,9
8.86,1891,10
10.27,1891,11
13.24,1891,12
7.58,1892,1
7.37,1892,2
8.29,1892,3
5.22,1892,4
6.64,1892,5
4.68,1892,6
3.51,1892,7
7.2,1892,8
8.99,1892,9
7.69,1892,10
11.55,1892,11
4.6,1892,12
2.45,1893,2
5.95,1893,3
3.86,1893,4
10.59,1893,5
7.03,1893,6
6.15,1893,7
9.3,1893,8
8,1893,9
2.98,1893,11
7.91,1894,2
2.47,1894,3
4.33,1894,4
0.5,1894,6
6.27,1894,7
7.83,1894,8
2.83,1894,9
7.42,1894,10
9.5,1894,11
11.69,1894,12
7.54,1895,1
5.7,1895,2
5.88,1895,3
1.78,1895,5
2.57,1895,6
15.4,1895,7
6.26,1895,8
8.22,1895,10
6.7,1895,11
18.5,1895,12
3.9,1896,1
7.73,1896,2
4.72,1896,3
4.6,1896,4
4.63,1896,5
2.46,1896,6
6.79,1896,7
4.28,1896,8
10.43,1896,9
11.05,1896,11
21.85,1896,12
13.68,1897,1
3.4,1897,2
6.65,1897,3
7.4,1897,4
4.6,1897,5
6.7,1897,7
6.7,1897,8
3.74,1897,10
4.6,1897,11
5.5,1897,12
6,1898,3
9.5,1898,4
4.6,1898,5
4.87,1898,6
2.6,1898,7
7.04,1898,8
7.48,1898,9
8.9,1898,10
13.16,1898,11
8.8,1899,1
2.6,1899,4
6.7,1899,5
6.7,1899,7
5.02,1899,10
4.16,1899,12
11.84,1900,1
6.7,1900,2
11.8,1900,10
6.7,1900,11
19,1900,12
1,1901,2
7.4,1901,4
15.4,1901,6
6.7,1901,7
6.7,1901,9
4.65,1901,10
5.13,1901,11
10,1901,12
17.2,1902,1
6.86,1902,2
5.74,1902,3
6.86,1902,4
6.98,1902,5
4.6,1902,6
4.6,1902,7
4.74,1902,8
3.27,1902,9
6.7,1902,10
5.29,1902,11
9.02,1902,12
8.45,1903,1
9.51,1903,2
8.37,1903,3
9.49,1903,4
4.13,1903,5
4.91,1903,6
4.5,1903,7
7.7,1903,8
5.96,1903,9
10.47,1903,10
7.9,1903,11
8.67,1903,12
