"year","ST_PC1","ST_PC2","AT_PC1","AT_PC2","WS_PC1","WS_PC2","sample","calcite_thickness_mm","aragonite_thickness_mm","storage_condition","shell_height","aperture_width","aperture_height","country","location","PC1","PC2","PC3","PC4","PC5","aperture_ellipses"
1888,-1.86295695703924,-0.738632428983545,-1.63812643763172,-1.03220739698738,-0.429229595794586,-1.76709240152489,"1_1",0.402361733333333,0.0790989,"dry",22.46,9.5,14.79,"Belgium","BLA",0.00015288733589837,0.00121911234703358,-4.91246904098578e-05,0.00077561347729607,1.69573755534353e-05,110.352368948158
1888,-1.86295695703924,-0.738632428983545,-1.63812643763172,-1.03220739698738,-0.429229595794586,-1.76709240152489,"1_2",0.555582,0.0655051,"dry",26.58,9.66,15.83,"Belgium","BLA",0.0028403011405098,-0.00048982628678625,-0.00021239360840162,0.00019153635501541,-0.00010790823442493,120.101359270778
1888,-1.86295695703924,-0.738632428983545,-1.63812643763172,-1.03220739698738,-0.429229595794586,-1.76709240152489,"1_3",0.4950471,0.0557397666666667,"dry",23.54,8.41,14.63,"Belgium","BLA",0.00289536531489803,-5.42722566830932e-05,-0.00058998278196259,0.00065602497293024,0.00024179493762723,96.6340548475443
1888,-1.86295695703924,-0.738632428983545,-1.63812643763172,-1.03220739698738,-0.429229595794586,-1.76709240152489,"1_4",0.394110933333333,0.0457092333333333,"dry",26.47,9.15,15.61,"Belgium","BLA",0.00400406954398466,0.00011660510475918,-0.00033183946640896,0.0001297962961734,0.0006143382826656,112.179597775303
1888,-1.86295695703924,-0.738632428983545,-1.63812643763172,-1.03220739698738,-0.429229595794586,-1.76709240152489,"1_5",0.858218633333333,0.1512544,"dry",25.78,10.9,14.85,"Belgium","BLA",-0.00158712883470926,0.0015673269521697,0.00039105495326678,-0.00082228141171749,-0.00042867339354815,127.128473718328
1888,-1.86295695703924,-0.738632428983545,-1.63812643763172,-1.03220739698738,-0.429229595794586,-1.76709240152489,"1_6",0.437596433333333,0.0529792666666667,"dry",25.56,9.71,15.66,"Belgium","BLA",0.00081821235258166,0.00053700633640857,-0.00027133376013306,0.00077696902382443,0.00017785918647122,119.426545168787
1904,-1.65391404328497,-1.02093187519212,-2.58907704203475,-0.731654114888988,-0.151399740846109,-1.78885935206248,"2_1",0.700511833333333,0.157887466666667,"dry",33.43,12.03,17.11,"Netherland","ZOU",-0.00455807307041264,-0.00262035444949528,-0.00013340215704928,-8.27145277572871e-05,0.00021612090958592,161.661095786036
1904,-1.65391404328497,-1.02093187519212,-2.58907704203475,-0.731654114888988,-0.151399740846109,-1.78885935206248,"2_10",0.722887366666667,0.0672395666666667,"dry",32.16,12.12,20.19,"Netherland","ZOU",-0.00173595699068991,-0.0005630118943607,-0.00046751511387064,0.00011772504916269,-0.00033843115223648,192.189129698213
1904,-1.65391404328497,-1.02093187519212,-2.58907704203475,-0.731654114888988,-0.151399740846109,-1.78885935206248,"2_2",0.884551733333333,0.0833209333333333,"dry",31.31,12.91,18.75,"Netherland","ZOU",-0.00297492701255437,-5.21118322809371e-05,0.00032234814789193,8.31093458781829e-05,-0.00010150103057559,190.115442927395
1904,-1.65391404328497,-1.02093187519212,-2.58907704203475,-0.731654114888988,-0.151399740846109,-1.78885935206248,"2_3",1.11176376666667,0.0464780666666667,"dry",31.54,12.46,18.97,"Netherland","ZOU",-0.00350206966995357,0.00029100499086619,8.25258583883839e-05,0.00091678918574033,0.00017034487928898,185.641579369234
