"sample","position","aragonite_thickness_um","calcite_thickness_um","date","session"
"1_1",2,70.422,448.519,"10.07.1888","o1"
"1_1",2,72.047,438.628,"10.07.1888","o1"
"1_1",2,89.588,416.857,"10.07.1888","o1"
"1_1",2,64.719,425.935,"10.07.1888","o1"
"1_1",2,79.52,396.99,"10.07.1888","o1"
"1_1",2,72.713,351.85,"10.07.1888","o1"
"1_1",2,72.705,361.533,"10.07.1888","o1"
"1_1",2,85.249,342.365,"10.07.1888","o1"
"1_1",2,89.319,364.89,"10.07.1888","o1"
"1_1",2,65.013,373.768,"10.07.1888","o1"
"1_2",2,44.301,536.091,"10.07.1888","o1"
"1_2",2,48.08,545.515,"10.07.1888","o1"
"1_2",2,49.645,579.609,"10.07.1888","o1"
"1_2",2,48.486,573.041,"10.07.1888","o1"
"1_2",2,56.301,570.79,"10.07.1888","o1"
"1_2",2,47.941,580.571,"10.07.1888","o1"
"1_2",2,50.103,596.989,"10.07.1888","o1"
"1_2",2,48.982,611.668,"10.07.1888","o1"
"1_2",2,55.966,568.905,"10.07.1888","o1"
"1_2",2,57.694,562.343,"10.07.1888","o1"
"1_3",2,82.193,436.469,"10.07.1888","o1"
"1_3",2,96.845,406.065,"10.07.1888","o1"
"1_3",2,59.259,388.894,"10.07.1888","o1"
"1_3",2,55.781,449.459,"10.07.1888","o1"
"1_3",2,58.85,475.941,"10.07.1888","o1"
"1_3",2,38.241,537.85,"10.07.1888","o1"
"1_3",2,56.434,546.909,"10.07.1888","o1"
"1_3",2,45.473,568.361,"10.07.1888","o1"
"1_3",2,40.096,562.116,"10.07.1888","o1"
"1_3",2,26.766,585.041,"10.07.1888","o1"
"1_4",2,73.185,337.863,"10.07.1888","o1"
"1_4",2,64.394,364.865,"10.07.1888","o1"
"1_4",2,57.463,392.664,"10.07.1888","o1"
"1_4",2,30.203,451.608,"10.07.1888","o1"
"1_4",2,31.64,426.603,"10.07.1888","o1"
"1_4",2,24.748,445.959,"10.07.1888","o1"
"1_4",2,39.557,377.677,"10.07.1888","o1"
"1_4",2,41.618,409.926,"10.07.1888","o1"
"1_4",2,44.345,453.004,"10.07.1888","o1"
"1_4",2,55.466,378.435,"10.07.1888","o1"
"1_5",2,102.259,875.793,"10.07.1888","o1"
"1_5",2,103.906,950.374,"10.07.1888","o1"
"1_5",2,81.291,968.215,"10.07.1888","o1"
"1_5",2,62.417,947.506,"10.07.1888","o1"
"1_5",2,144.91,875.58,"10.07.1888","o1"
"1_5",2,207.144,792.807,"10.07.1888","o1"
"1_5",2,270.943,659.944,"10.07.1888","o1"
