sample,shell_height,aperture_width,aperture_height
1_1,22.46,9.5,14.79
1_2,26.58,9.66,15.83
1_3,23.54,8.41,14.63
1_4,26.47,9.15,15.61
1_5,25.78,10.9,14.85
1_6,25.56,9.71,15.66
10_1,29.33,11.86,15.43
10_2,29.36,11.5,16.56
10_3,26.71,11.01,15.1
10_4,22.32,7.78,13.5
10_5,31.84,12.43,18.93
10_6,27.9,11.03,16.53
10_7,27.77,10.93,14.72
12_1,27.34,11.2,16.63
12_10,25.11,10.27,15.85
12_2,24.84,10.57,14.9
12_3,25.93,10.38,15.1
12_4,27.18,10.55,14.94
12_5,26.45,11.51,15.82
12_6,27.53,11.04,16.31
12_7,25.78,10.8,15.16
12_8,26.81,11.07,15.69
12_9,27.45,10.95,15.63
14_1,26.33,11.39,15.85
14_10,28.87,12.47,16.87
14_2,27.01,10.95,16.12
14_3,27.16,10.15,16.6
14_4,26.87,11.69,14.93
14_5,27.71,11.08,15.22
14_6,28.54,11.14,16.09
14_7,26.8,11,15.03
14_8,25.9,9.82,15.09
14_9,25.87,9.62,15.59
16_1,26.78,12.15,15.47
16_10,28.55,12.09,16.62
16_2,26.12,10.35,15.17
16_3,28.71,11.91,17.2
16_4,28.96,12.44,16.51
16_5,27.41,12.52,16.64
16_6,28.42,10.93,16.47
16_7,27.61,12.45,17.46
16_8,28.62,11.57,16.13
16_9,29.24,10.86,16.99
18_1,26.97,10.5,10.9
18_10,27.65,10.67,17.02
18_2,27.1,10.75,15.2
18_3,26.26,10.45,15.02
18_4,27.5,10.32,15.64
18_5,26.51,10.2,16.06
18_6,27.26,10.89,16.2
18_7,25.63,10.86,14.32
18_8,28.94,11.38,16.66
18_9,27.89,11.56,16.65
19_1,29.44,13.04,17.93
19_2,26.04,9.41,14.38
2_1,33.43,12.03,17.11
2_10,32.16,12.12,20.19
2_2,31.31,12.91,18.75
2_3,31.54,12.46,18.97
2_4,30.8,12.16,18.37
2_5,31.09,12.61,17.89
2_6,30.03,11.98,16.96
2_7,27.97,11.3,16.14
2_8,32.18,12.5,20.88
2_9,29.59,11.7,18.01
20_1,25.25,11.15,15.18
20_2,22.35,9.29,13.22
20_3,23.69,10.09,14.44
20_4,29.99,11.89,17.25
20_5,26.25,11.24,14.49
20_6,22.58,9.36,13.74
20_7,26.06,10.79,15.39
20_8,25.99,10.64,15.45
20_9,27.34,10.79,16.24
22_1,25.16,10.86,13.81
22_2,27.83,11.96,15.38
22_3,28.37,11.58,15.26
24_1,27.25,11.18,16.31
24_10,29.4,11.35,16.01
24_2,30.55,12.36,15.99
24_3,28.7,12.71,15.95
24_4,25.73,9.91,16.8
24_5,27.79,10.83,14.79
24_6,27.22,11.23,16.42
24_7,30.21,12,15.79
24_8,28.74,11.54,15.89
24_9,26.39,10.43,14.09
25_1,26.16,10.33,14.5
25_2,27.14,10.67,17.24
25_3,29.69,11.79,16.51
26_1,27.8,12.31,15.92
26_2,26.16,10.22,14.94
26_3,22.75,9.55,14.31
26_4,26.02,10.52,14.62
26_5,24.06,9.82,15.82
26_6,22.81,9.96,14.57
26_7,28.54,11.59,17.98
26_8,27.57,10.99,15.71
26_9,26.79,11.08,15.94
27_1,24.11,10.77,14.04
27_2,29,10.92,16.51
27_3,26.83,10.67,14.84
27_4,25.73,10.76,14.97
3_1,32.74,12.33,17.51
3_10,30.49,12.41,16.18
3_2,29.31,12.02,17.85
3_3,29.31,11.97,15.26
3_4,29.44,11.67,18.02
3_5,29.13,12.01,17.16
3_6,33.18,12.87,17.78
3_7,31.36,12.68,18.21
3_8,31.22,11.65,16.93
3_9,32.84,12.72,17.06
33_1,34.6,14.39,20.28
33_2,30.47,12.04,16.72
33_3,32.45,14.46,19.21
33_4,32.33,13.84,19.53
33_5,36.16,13.9,18.76
33_6,31.21,12.91,17.62
33_7,35.8,14.88,19.43
33_8,35.25,14.01,20.57
33_9,33.06,12.99,19.17
31_1,27.41,11.8,15.58
31_10,29.21,11.9,15.3
31_2,27.73,11.26,16.37
31_3,32.43,13.87,18.71
31_4,27.39,10.97,15.27
31_5,27.5,11.59,15.06
31_6,26.25,10.98,15.77
31_7,27.05,10.67,14.5
31_8,31.11,11.9,17.38
31_9,27.92,12.34,15.72
32_1,30.9,12.33,15.32
32_2,31.93,12.84,17.82
32_3,30.92,12.71,16.3
32_4,30.56,12.41,16.92
4_1,27.78,11.13,16.92
4_2,32.46,13,16.29
7_1,25.59,9.19,15.4
7_2,25.56,9.99,15.02
7_3,29.67,12.99,18.05
7_4,26.73,11.42,14.52
7_5,28.42,11.56,16.38
8_1,27.8,10.89,14.36
8_2,32.43,12.03,17.63
8_3,31.18,10.67,16.8
8_4,30.73,12.07,17.63
8_5,27.93,12.24,16.94
9_1,26.33,9.6,14.67
9_2,26.5,10.48,14.52
