sample,position,aragonite_thickness_um,calcite_thickness_um,date
1_1,2,77.827,446.194,10.07.1888
1_1,2,79.326,419.244,10.07.1888
1_1,2,75.871,440.741,10.07.1888
1_1,2,73.047,400.642,10.07.1888
1_1,2,74.928,353.447,10.07.1888
1_1,2,75.987,342.634,10.07.1888
1_1,2,82.949,316.848,10.07.1888
1_1,2,98.426,331.364,10.07.1888
1_1,2,103.769,366.345,10.07.1888
1_1,2,82.938,383.612,10.07.1888
1_2,2,41.24,526.214,10.07.1888
1_2,2,486,100.232,10.07.1888
1_2,2,50.845,543.212,10.07.1888
1_2,2,50.895,571.095,10.07.1888
1_2,2,51.204,590.925,10.07.1888
1_2,2,53.432,571.481,10.07.1888
1_2,2,55.065,568.979,10.07.1888
1_2,2,54.434,611.215,10.07.1888
1_2,2,53.566,612.603,10.07.1888
1_2,2,55.089,569.078,10.07.1888
1_3,2,87.363,423.819,10.07.1888
1_3,2,71.876,450.996,10.07.1888
1_3,2,61.567,440.009,10.07.1888
1_3,2,51.632,426.067,10.07.1888
1_3,2,56.872,441.822,10.07.1888
1_3,2,55.153,501.582,10.07.1888
1_3,2,51.63,552.702,10.07.1888
1_3,2,44.236,561.671,10.07.1888
1_3,2,37.925,563.073,10.07.1888
1_3,2,32.553,593.426,10.07.1888
1_4,2,70.437,332.695,10.07.1888
1_4,2,61.286,357.202,10.07.1888
1_4,2,52.64,389.267,10.07.1888
1_4,2,40.895,439.881,10.07.1888
1_4,2,35.378,413.618,10.07.1888
1_4,2,35.161,434.263,10.07.1888
1_4,2,35.902,284.534,10.07.1888
1_4,2,40.437,377.926,10.07.1888
1_4,2,53.563,402.1,10.07.1888
1_4,2,73.481,427.516,10.07.1888
1_5,2,107.046,879.916,10.07.1888
1_5,2,97.209,955.962,10.07.1888
1_5,2,70.921,1012.021,10.07.1888
1_5,2,57.427,971.337,10.07.1888
1_5,2,89.985,961.106,10.07.1888
1_5,2,120.432,932.702,10.07.1888
1_5,2,191.174,845.946,10.07.1888
1_5,2,224.883,777.171,10.07.1888
1_5,2,256.121,698.529,10.07.1888
1_5,2,379.093,530.731,10.07.1888
1_6,2,32.577,492.866,10.07.1888
1_6,2,32.495,515.565,10.07.1888
1_6,2,43.481,525.344,10.07.1888
1_6,2,60.084,452.619,10.07.1888
1_6,2,64.647,415.092,10.07.1888
1_6,2,66.25,405.917,10.07.1888
1_6,2,64.154,359.653,10.07.1888
1_6,2,60.583,377.292,10.07.1888
1_6,2,58.468,377.396,10.07.1888
1_6,2,60.976,431.737,10.07.1888
2_1,2,167.736,638.562,28.07.1904
2_1,2,171.504,665.979,28.07.1904
2_1,2,172.685,724.848,28.07.1904
2_1,2,176.821,736.711,28.07.1904
2_1,2,185.704,663.265,28.07.1904
2_1,2,164.213,597.968,28.07.1904
2_1,2,162.684,617.345,28.07.1904
2_1,2,160.765,644.187,28.07.1904
2_1,2,131.533,835.558,28.07.1904
2_1,2,101.123,986.609,28.07.1904
2_2,2,110.797,884.008,28.07.1904
2_2,2,96.68,888.895,28.07.1904
2_2,2,90.569,894.231,28.07.1904
2_2,2,88.997,904.503,28.07.1904
2_2,2,99.633,908.852,28.07.1904
2_2,2,74.452,884.95,28.07.1904
2_2,2,70.034,790.033,28.07.1904
2_2,2,73.888,848.511,28.07.1904
2_2,2,72.44,880.241,28.07.1904
2_2,2,66.6,911.185,28.07.1904
2_3,2,57.173,1097.977,28.07.1904
2_3,2,49.59,1086.983,28.07.1904
2_3,2,49.181,1075.845,28.07.1904
2_3,2,45.986,1105.884,28.07.1904
2_3,2,54.169,1047.212,28.07.1904
2_3,2,55.91,1108.42,28.07.1904
2_3,2,49.489,1195.285,28.07.1904
2_3,2,42.569,1197.568,28.07.1904
2_3,2,47.883,1119.923,28.07.1904
2_3,2,39.582,1168.034,28.07.1904
2_4,2,55.182,601.759,28.07.1904
2_4,2,64.771,666.406,28.07.1904
2_4,2,55.46,686.021,28.07.1904
2_4,2,82.623,631.822,28.07.1904
2_4,2,54.442,654.076,28.07.1904
2_4,2,59.583,666.198,28.07.1904
2_4,2,71.854,648.992,28.07.1904
2_4,2,96.563,695.659,28.07.1904
2_4,2,85.094,788.62,28.07.1904
2_4,2,74.449,849.797,28.07.1904
2_5,2,280.724,414.911,28.07.1904
2_5,2,250.56,499.253,28.07.1904
2_5,2,222.263,527.434,28.07.1904
2_5,2,208.165,539.54,28.07.1904
2_5,2,189.547,566.21,28.07.1904
2_5,2,171.418,580.677,28.07.1904
2_5,2,162.816,578.36,28.07.1904
2_5,2,175.982,571.227,28.07.1904
2_5,2,187.049,523.408,28.07.1904
2_5,2,191.954,471.022,28.07.1904
2_6,2,60.074,1279.328,28.07.1904
2_6,2,57.883,1263.309,28.07.1904
2_6,2,68.09,1303.099,28.07.1904
2_6,2,76.12,1172.186,28.07.1904
2_6,2,82.046,1103.568,28.07.1904
2_6,2,64.243,1130.189,28.07.1904
2_6,2,69.286,1190.256,28.07.1904
2_6,2,59.775,1160.632,28.07.1904
2_6,2,70.052,1154.185,28.07.1904
2_6,2,64.503,1165.873,28.07.1904
2_7,2,177.043,704.891,28.07.1904
2_7,2,174.822,796.717,28.07.1904
2_7,2,183.959,803.989,28.07.1904
2_7,2,163.739,768.787,28.07.1904
2_7,2,174.121,664.282,28.07.1904
2_7,2,187.237,610.227,28.07.1904
2_7,2,203.949,537.043,28.07.1904
2_7,2,214.005,510.295,28.07.1904
2_7,2,228.281,466.571,28.07.1904
2_7,2,229.832,478.463,28.07.1904
2_8,2,59.57,815.285,28.07.1904
2_8,2,63.734,860.119,28.07.1904
2_8,2,57.173,826.249,28.07.1904
2_8,2,53.554,816.492,28.07.1904
2_8,2,41.602,795.895,28.07.1904
2_8,2,41.005,708.036,28.07.1904
2_8,2,32.715,667.615,28.07.1904
2_8,2,33.724,637.902,28.07.1904
2_8,2,36.427,680.586,28.07.1904
2_8,2,35.834,696.886,28.07.1904
2_9,2,97.981,562.32,28.07.1904
2_9,2,101.085,539.911,28.07.1904
2_9,2,91.701,575.717,28.07.1904
2_9,2,89.61,529.384,28.07.1904
2_9,2,78.662,480.374,28.07.1904
2_9,2,86.034,513.853,28.07.1904
2_9,2,89.283,555.42,28.07.1904
2_9,2,91.211,563.939,28.07.1904
2_9,2,100.742,474.49,28.07.1904
2_9,2,100.096,485.159,28.07.1904
2_10,2,51.947,863.085,28.07.1904
2_10,2,40.306,715.119,28.07.1904
2_10,2,41.668,751.194,28.07.1904
2_10,2,41.727,677.031,28.07.1904
2_10,2,54.434,618.214,28.07.1904
2_10,2,69.986,660.984,28.07.1904
2_10,2,68.316,749.135,28.07.1904
2_10,2,83.535,745.088,28.07.1904
2_10,2,101.126,741.122,28.07.1904
2_10,2,102.986,714.591,28.07.1904
3_1,2,125.051,890.068,26.05.1911
3_1,2,118.502,907.731,26.05.1911
3_1,2,110.72,916.515,26.05.1911
3_1,2,116.644,959.884,26.05.1911
3_1,2,101.835,991.903,26.05.1911
3_1,2,109.513,1037.779,26.05.1911
3_1,2,103.586,1044.181,26.05.1911
3_1,2,94.566,1143.803,26.05.1911
3_1,2,86.05,1164.619,26.05.1911
3_1,2,81.973,1179.783,26.05.1911
3_2,2,72.529,1725.07,26.05.1911
3_2,2,74.946,1753.313,26.05.1911
3_2,2,93.187,1786.467,26.05.1911
3_2,2,101.017,1808.25,26.05.1911
3_2,2,109.899,1752.469,26.05.1911
3_2,2,105.405,1655.606,26.05.1911
3_2,2,100.419,1655.853,26.05.1911
3_2,2,91.331,1710.679,26.05.1911
3_2,2,96.659,1696.831,26.05.1911
3_2,2,91.096,1686.809,26.05.1911
3_3,2,124.967,776.204,26.05.1911
3_3,2,130.864,772.19,26.05.1911
3_3,2,130.597,725.559,26.05.1911
3_3,2,139.009,699.61,26.05.1911
3_3,2,137.88,696.667,26.05.1911
3_3,2,117.789,734.206,26.05.1911
3_3,2,117.814,729.486,26.05.1911
3_3,2,115,761.208,26.05.1911
3_3,2,110.94,784.478,26.05.1911
3_3,2,123.27,679.106,26.05.1911
3_4,2,181.237,1148.915,26.05.1911
3_4,2,182.407,1104.528,26.05.1911
3_4,2,195.985,1098.035,26.05.1911
3_4,2,191.368,1130.4,26.05.1911
3_4,2,186.624,1075.428,26.05.1911
3_4,2,194.649,1075.678,26.05.1911
3_4,2,205.98,996.835,26.05.1911
3_4,2,195.238,956.78,26.05.1911
3_4,2,200.424,1096.625,26.05.1911
3_4,2,220.753,1104.044,26.05.1911
3_5,2,201.851,1095.778,26.05.1911
3_5,2,198.885,1070.658,26.05.1911
3_5,2,204.945,1077.062,26.05.1911
3_5,2,221.131,1112.322,26.05.1911
3_5,2,238.838,1137.344,26.05.1911
3_5,2,249.278,1123.817,26.05.1911
3_5,2,246.292,1162.939,26.05.1911
3_5,2,249.533,1195.316,26.05.1911
3_5,2,232.749,1220.148,26.05.1911
3_5,2,230.396,1251.728,26.05.1911
3_6,2,28.728,1667.698,26.05.1911
3_6,2,34.428,1671.243,26.05.1911
3_6,2,31.415,1759.382,26.05.1911
3_6,2,31.591,1828.276,26.05.1911
3_6,2,32.75,1849.295,26.05.1911
3_6,2,29.161,1855.133,26.05.1911
3_6,2,31.151,1974.672,26.05.1911
3_6,2,24.757,2045.731,26.05.1911
3_6,2,18.692,2090.275,26.05.1911
3_6,2,21.446,2090.275,26.05.1911
3_7,2,146.045,593.023,26.05.1911
3_7,2,147.704,609.141,26.05.1911
3_7,2,150.473,602.49,26.05.1911
3_7,2,149.943,614.307,26.05.1911
3_7,2,162.018,607.696,26.05.1911
3_7,2,143.375,639.112,26.05.1911
3_7,2,139.018,637.713,26.05.1911
3_7,2,138.473,654.793,26.05.1911
3_7,2,123.597,712.583,26.05.1911
3_7,2,132.953,781.174,26.05.1911
3_8,2,78.713,1233.67,26.05.1911
3_8,2,75.113,1323.759,26.05.1911
3_8,2,77.378,1298.469,26.05.1911
3_8,2,86.684,1251.634,26.05.1911
3_8,2,79.971,1323.715,26.05.1911
3_8,2,69.331,1332.119,26.05.1911
3_8,2,80.193,1266.074,26.05.1911
3_8,2,94.773,1222.333,26.05.1911
3_8,2,102.349,1201.311,26.05.1911
3_8,2,122.295,1172.503,26.05.1911
3_9,2,141.192,1376.274,26.05.1911
3_9,2,151.713,1271.735,26.05.1911
3_9,2,148.066,1225.674,26.05.1911
3_9,2,142.01,1189.256,26.05.1911
3_9,2,148.235,1181.022,26.05.1911
3_9,2,159.354,1169.715,26.05.1911
3_9,2,193.02,1120.016,26.05.1911
3_9,2,201.931,1003.79,26.05.1911
3_9,2,192.19,998.38,26.05.1911
3_9,2,186.052,1000.171,26.05.1911
3_10,2,160.036,1034.608,26.05.1911
3_10,2,153.935,960.02,26.05.1911
3_10,2,165.921,985.632,26.05.1911
3_10,2,145.179,868.305,26.05.1911
3_10,2,141.291,1071.435,26.05.1911
3_10,2,126.547,1125.184,26.05.1911
3_10,2,123.621,1115.661,26.05.1911
3_10,2,114.912,1109.651,26.05.1911
3_10,2,133.396,1139.297,26.05.1911
3_10,2,115.611,1062.106,26.05.1911
4_1,2,173.727,385.709,04.06.1911
4_1,2,161.546,417.716,04.06.1911
4_1,2,160.294,473.718,04.06.1911
4_1,2,165.419,481.329,04.06.1911
4_1,2,165.246,478.241,04.06.1911
4_1,2,161.358,456.856,04.06.1911
4_1,2,159.102,448.344,04.06.1911
4_1,2,147.82,487.273,04.06.1911
4_1,2,141.041,492.679,04.06.1911
4_1,2,144.051,446.799,04.06.1911
4_2,2,169.382,429.266,04.06.1911
4_2,2,177.012,396.506,04.06.1911
4_2,2,163.649,464.698,04.06.1911
4_2,2,154.69,513.891,04.06.1911
4_2,2,156.959,581.253,04.06.1911
4_2,2,151.768,518.253,04.06.1911
4_2,2,149.524,556.621,04.06.1911
4_2,2,140.024,598.199,04.06.1911
4_2,2,128.007,681.898,04.06.1911
4_2,2,127.442,717.109,04.06.1911
7_1,2,196.608,495.065,15.06.1928
7_1,2,197.292,460.349,15.06.1928
7_1,2,197.349,502.048,15.06.1928
7_1,2,192.581,538.083,15.06.1928
7_1,2,193.495,558.285,15.06.1928
7_1,2,187.655,580.633,15.06.1928
7_1,2,177.967,557.5,15.06.1928
7_1,2,183.391,616.588,15.06.1928
7_1,2,176.329,665.325,15.06.1928
7_1,2,173.514,696.886,15.06.1928
7_2,2,42.635,1033.418,15.06.1928
7_2,2,43.828,1033.608,15.06.1928
7_2,2,40.773,1097.803,15.06.1928
7_2,2,41.932,1100.523,15.06.1928
7_2,2,34.434,1140.843,15.06.1928
7_2,2,39.883,1087.851,15.06.1928
7_2,2,39.256,1032.41,15.06.1928
7_2,2,47.716,930.144,15.06.1928
7_2,2,56.663,882.321,15.06.1928
7_2,2,61.819,833.879,15.06.1928
7_3,2,154.534,750.689,15.06.1928
7_3,2,155.958,723.129,15.06.1928
7_3,2,153.203,662.455,15.06.1928
7_3,2,165.379,587.087,15.06.1928
7_3,2,167.676,551.629,15.06.1928
7_3,2,153.095,534.619,15.06.1928
7_3,2,151.52,515.046,15.06.1928
7_3,2,149.015,533.737,15.06.1928
7_3,2,130.112,537.744,15.06.1928
7_3,2,116.424,545.827,15.06.1928
7_4,2,287.787,567.959,15.06.1928
7_4,2,259.379,527.525,15.06.1928
7_4,2,274.858,492.988,15.06.1928
7_4,2,257,419.925,15.06.1928
7_4,2,248.154,408.835,15.06.1928
7_4,2,228.428,376.663,15.06.1928
7_4,2,238.671,406.704,15.06.1928
7_4,2,236.78,443.579,15.06.1928
7_4,2,231.406,449.468,15.06.1928
7_4,2,247.667,367.537,15.06.1928
7_5,2,191.196,537.532,15.06.1928
7_5,2,175.851,583.83,15.06.1928
7_5,2,151.905,609.181,15.06.1928
7_5,2,135.846,545.891,15.06.1928
7_5,2,116.644,571.07,15.06.1928
7_5,2,122.907,560.615,15.06.1928
7_5,2,119.464,561.655,15.06.1928
7_5,2,120.934,590.109,15.06.1928
7_5,2,121.903,632.942,15.06.1928
7_5,2,127.025,605.939,15.06.1928
8_1,2,115.724,847.652,27.07.1929
8_1,2,112.706,911.976,27.07.1929
8_1,2,117.221,1003.002,27.07.1929
8_1,2,109.86,1039.765,27.07.1929
8_1,2,87.483,1103.259,27.07.1929
8_1,2,97.203,1049.797,27.07.1929
8_1,2,82.623,1052.227,27.07.1929
8_1,2,93.271,1044.763,27.07.1929
8_1,2,94.88,1046.695,27.07.1929
8_1,2,89.216,1093.954,27.07.1929
8_2,2,103.502,571.177,27.07.1929
8_2,2,99.633,578.821,27.07.1929
8_2,2,105.198,624.229,27.07.1929
8_2,2,89.913,566.21,27.07.1929
8_2,2,75.641,474.611,27.07.1929
8_2,2,69.527,483.807,27.07.1929
8_2,2,82.351,469.101,27.07.1929
8_2,2,84.044,524.063,27.07.1929
8_2,2,91.758,565.84,27.07.1929
8_2,2,80.485,533.757,27.07.1929
8_3,2,64.541,904.264,27.07.1929
8_3,2,64.089,947.452,27.07.1929
8_3,2,59.773,1027.868,27.07.1929
8_3,2,71.197,1062.303,27.07.1929
8_3,2,69.986,972.035,27.07.1929
8_3,2,50.856,951.724,27.07.1929
8_3,2,43.321,1019.014,27.07.1929
8_3,2,35.61,1069.913,27.07.1929
8_3,2,37.601,1096.411,27.07.1929
8_3,2,33.788,1090.785,27.07.1929
8_4,2,469.586,929.658,27.07.1929
8_4,2,472.95,977.634,27.07.1929
8_4,2,475.428,933.771,27.07.1929
8_4,2,481.884,885.63,27.07.1929
8_4,2,477.949,929.006,27.07.1929
8_4,2,475.229,906.815,27.07.1929
8_4,2,490.527,872.233,27.07.1929
8_4,2,481.156,829.423,27.07.1929
8_4,2,407.142,876.482,27.07.1929
8_4,2,392.701,942.197,27.07.1929
8_5,2,79.081,891.712,27.07.1929
8_5,2,81.495,857.842,27.07.1929
8_5,2,82.489,824.64,27.07.1929
8_5,2,82.263,747.838,27.07.1929
8_5,2,101.166,722.526,27.07.1929
8_5,2,87.971,679.911,27.07.1929
